ISBN13,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,['C. S. Lewis'],Paperback,19.99,18.25,7461240,01-07-2012,HarperCollins Publishers,224
9780307762528,Blood Meridian,['Cormac McCarthy'],ePUB,10.3,9.01,307762521,11-08-2010,Knopf Doubleday Publishing Group,
9780743422277,Star Trek,['Diane Duane'],ePUB,5.99,5.99,743422279,03-12-2001,Pocket Books/Star Trek,256
9780241290002,Familiar Stranger,['Stuart Hall'],ePUB,15.99,15.99,241290007,06-04-2017,Penguin Books Ltd,256
9780061763403,failed to fetch page,,,,,,,,
9780463983096,Across the Seas,['Griff Hosker'],ePUB,9.19,9.19,463983092,04-03-2019,Griff Hosker,
9780241365984,American Royals,['Katharine McGee'],ePUB,9.99,9.99,241365988,01-09-2019,Penguin Random House Children's UK,368
9781322117171,Battle of Okinawa,['George Feifer'],E-Book,0,0,1322117179,01-01-2001,Lyons Press,531
9780141911717,Homage to Catalonia,['George Orwell'],ePUB,15.99,15.99,141911719,05-06-2003,Penguin Books Ltd,272
9780141930169,The Twits,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,141930160,06-09-2007,Penguin Random House Children's UK,112
9781250316783,"Red, White & Royal Blue",['Casey McQuiston'],ePUB,17.81,14.29,1250316782,14-05-2019,St. Martin's Publishing Group,
9780748115358,The Great Hunt,['Robert Jordan'],ePUB,11.99,11.99,748115358,17-11-2009,"Little, Brown Book Group",736
9780141342436,Magnus Chase and the Sword of Summer (Book 1),['Rick Riordan'],ePUB,9.99,9.99,141342439,06-10-2015,Penguin Random House Children's UK,528
9780141903125,Boy,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,141903120,04-09-2008,Penguin Random House Children's UK,192
9780141928685,Angels,['Marian Keyes'],ePUB,15.99,15.99,141928689,31-03-2005,Penguin Books Ltd,496
9780755386390,The Lost (Paula Maguire 1),['Claire McGowan'],ePUB,11.99,11.99,755386396,11-04-2013,Headline,305
9780230739673,failed to fetch page,,,,,,,,
9781310517228,Anxiety,['Joshua Fletcher'],ePUB,9.38,9.38,1310517223,22-03-2016,Joshua Fletcher,
9780698137653,George Washington's Secret Six,"['Brian Kilmeade', 'Don Yaeger']",ePUB,22.29,17.99,698137655,05-11-2013,Penguin Publishing Group,288
9780956308641,Driving Over Lemons,['Chris Stewart'],ePUB,7.69,6.92,956308643,08-08-2011,Sort Of Books,304
